EmailID,RecipientEmail,CampaignID,SendTime,OpenTime,ClickTime,Conversion,Unsubscribe
EMAIL1751,user100@company.com,CAMP101,2024-01-30 13:07:52,2024-01-30 13:07:52,2024-01-30 13:07:52,,Yes
EMAIL1641,user100@company.com,CAMP103,2024-01-12 01:02:04,2024-01-12 01:02:04,2024-01-12 01:02:04,Yes,No
EMAIL1692,user100@gmail.com,CAMP103,2024-01-02 09:07:47,,,Yes,Yes
EMAIL1137,user100@outlook.com,CAMP102,2024-01-23 21:27:39,,,No,No
EMAIL1130,user100@yahoo.com,CAMP102,2024-01-29 04:42:28,,,Yes,Yes
EMAIL1573,user101@yahoo.com,CAMP103,2024-01-17 12:57:28,,,Yes,Yes
EMAIL1934,user101@yahoo.com,CAMP103,2024-01-21 04:16:07,,,Yes,No
EMAIL1645,user101@yahoo.com,CAMP103,2024-01-28 16:49:32,2024-01-28 16:49:32,,Yes,Yes
EMAIL1062,user102@company.com,CAMP101,2024-01-16 07:49:28,2024-01-16 07:49:28,2024-01-16 07:49:28,No,No
EMAIL1212,user102@company.com,CAMP101,2024-01-18 22:37:03,,,,Yes
EMAIL1415,user102@company.com,CAMP103,2024-01-29 03:29:57,,,Yes,No
EMAIL1807,user102@gmail.com,CAMP103,2024-01-06 20:50:40,,,Yes,No
EMAIL1054,user102@yahoo.com,CAMP103,2024-01-04 12:19:45,,,Yes,No
EMAIL1736,user103@company.com,CAMP101,2024-01-03 05:30:14,,,,No
EMAIL1110,user103@company.com,CAMP101,2024-01-25 11:08:32,,,Yes,No
EMAIL1232,user103@company.com,CAMP102,2024-01-17 14:31:16,,,Yes,Yes
EMAIL1542,user103@company.com,CAMP103,2024-01-27 16:06:45,2024-01-27 16:06:45,,,No
EMAIL1491,user103@gmail.com,CAMP102,2024-01-21 14:20:23,2024-01-21 14:20:23,2024-01-21 14:20:23,Yes,No
EMAIL1274,user103@outlook.com,CAMP101,2024-01-08 12:34:09,,,,Yes
EMAIL1630,user103@outlook.com,CAMP101,2024-01-24 02:04:15,,,No,Yes
EMAIL1286,user104@company.com,CAMP101,2024-01-26 02:40:25,2024-01-26 02:40:25,,,Yes
EMAIL1105,user104@outlook.com,CAMP103,2024-01-08 07:11:26,,,Yes,No
EMAIL1008,user104@yahoo.com,CAMP102,2024-01-04 13:54:04,,,Yes,Yes
EMAIL1026,user104@yahoo.com,CAMP102,2024-01-24 15:23:48,,,Yes,No
EMAIL1746,user105@company.com,CAMP103,2024-01-28 18:38:34,2024-01-28 18:38:34,,Yes,No
EMAIL1303,user105@outlook.com,CAMP103,2024-01-13 07:36:46,,,Yes,No
EMAIL1258,user106@company.com,CAMP102,2024-01-08 02:44:43,,,No,No
EMAIL1628,user106@gmail.com,CAMP101,2024-01-01 19:01:16,2024-01-01 19:01:16,2024-01-01 19:01:16,No,Yes
EMAIL1435,user106@gmail.com,CAMP103,2024-01-26 03:51:58,,,,Yes
EMAIL1166,user106@outlook.com,CAMP101,2024-01-16 10:29:47,,,Yes,No
EMAIL1381,user106@outlook.com,CAMP102,2024-01-11 06:29:47,,,,No
EMAIL1305,user106@outlook.com,CAMP102,2024-01-12 02:15:49,,,No,Yes
EMAIL1223,user107@company.com,CAMP101,2024-01-24 21:42:58,,,No,No
EMAIL1213,user107@company.com,CAMP103,2024-01-03 19:35:04,2024-01-03 19:35:04,2024-01-03 19:35:04,No,No
EMAIL1544,user107@outlook.com,CAMP101,2024-01-18 00:01:18,,,No,Yes
